player_id,player_name,team_name,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Own Goal Against,Pass,Player Off,Player On,Pressure,Shot,Offside,Shield,Bad Behaviour,50/50
5738,Anderson Santamaría Bardales,Peru,58,8,2,61,5,0,1,6,6,0.0,0,0,0,0,0,0.0,74,0.0,0.0,12,0,0.0,0.0,0.0,0.0
5739,Vedran Ćorluka,Croatia,42,4,2,47,10,0,3,0,3,0.0,2,0,0,2,0,0.0,64,0.0,0.0,9,0,0.0,0.0,0.0,0.0
5741,Enzo Nicolás Pérez,Argentina,119,7,2,108,0,2,1,3,3,0.0,5,5,0,1,3,0.0,114,0.0,0.0,43,1,0.0,0.0,0.0,1.0
5742,Gabriel Iván Mercado,Argentina,158,9,6,149,2,1,1,4,5,0.0,8,6,0,4,2,0.0,185,1.0,1.0,36,1,0.0,1.0,0.0,1.0
5743,Paulo Bruno Exequiel Dybala,Argentina,14,1,0,12,0,0,1,1,0,0.0,0,2,0,0,1,0.0,11,0.0,0.0,7,1,0.0,0.0,0.0,0.0
5829,Jón Daði Böðvarsson,Iceland,44,2,2,12,1,1,0,0,6,0.0,0,1,0,0,2,0.0,18,0.0,0.0,31,1,0.0,0.0,0.0,0.0
5830,Kenneth Josiah Omeruo,Nigeria,44,11,0,55,9,0,1,2,2,0.0,2,3,0,6,2,0.0,73,0.0,0.0,16,1,0.0,0.0,0.0,0.0
5831,Sverrir Ingi Ingason,Iceland,23,5,7,20,5,0,0,1,3,0.0,3,1,0,2,0,0.0,46,0.0,0.0,26,3,0.0,1.0,0.0,0.0
5832,Tyronne Ebuehi,Nigeria,21,1,0,23,0,1,0,0,5,0.0,1,0,0,0,1,0.0,25,0.0,0.0,12,0,0.0,0.0,0.0,0.0
5833,Nemanja Radonjić,Serbia,13,2,0,13,0,1,1,0,1,0.0,0,0,0,0,2,0.0,11,0.0,0.0,10,0,0.0,0.0,0.0,0.0
5834,Mario Gavranović,Switzerland,40,3,1,16,0,1,2,0,1,0.0,1,3,0,0,2,0.0,17,0.0,0.0,30,3,0.0,0.0,0.0,0.0
5835,Josip Drmic,Switzerland,45,2,1,19,0,0,1,0,3,0.0,1,1,0,0,2,0.0,20,0.0,0.0,15,4,0.0,0.0,0.0,0.0
5836,Bryan Oviedo,Costa Rica,49,6,5,43,3,2,0,4,7,0.0,7,1,0,5,1,0.0,64,0.0,0.0,28,3,0.0,0.0,0.0,0.0
5837,Douglas Costa de Souza,Brazil,57,5,0,68,0,5,8,0,2,0.0,0,3,0,1,1,0.0,52,0.0,0.0,5,4,0.0,0.0,0.0,0.0
5838,Fágner Conserva Lemos,Brazil,178,10,11,174,4,2,3,6,16,0.0,8,4,0,3,2,0.0,228,0.0,0.0,79,0,0.0,1.0,0.0,0.0
5839,Yeltsin Ignacio Tejeda Valverde,Costa Rica,5,1,0,4,0,0,0,1,0,0.0,0,0,0,0,1,0.0,5,0.0,0.0,3,0,0.0,0.0,0.0,0.0
5936,Hamdi Nagguez,Tunisia,92,2,1,70,0,0,5,1,5,0.0,3,2,0,3,2,0.0,101,0.0,0.0,23,1,0.0,2.0,0.0,0.0
5985,Jesús Manuel Corona Ruíz,Mexico,27,1,1,27,0,2,3,0,0,0.0,0,0,0,1,3,0.0,24,0.0,0.0,2,0,0.0,0.0,0.0,0.0
5986,Chul Hong,South Korea,19,9,3,26,3,0,2,1,1,0.0,2,1,0,2,1,0.0,36,0.0,0.0,38,0,0.0,0.0,0.0,0.0
5987,Giovani dos Santos Ramírez,Mexico,4,1,0,3,0,0,0,1,2,0.0,0,0,0,1,1,0.0,3,0.0,0.0,2,0,0.0,0.0,0.0,0.0
5988,Se-Jong Ju,South Korea,37,3,2,38,0,1,0,2,4,0.0,3,1,0,1,1,0.0,41,0.0,0.0,40,0,0.0,0.0,0.0,0.0
5989,Seon-Min Moon,South Korea,48,3,1,35,0,4,2,4,8,0.0,7,2,0,0,2,0.0,33,0.0,0.0,59,2,0.0,0.0,0.0,1.0
6038,John Guidetti,Sweden,18,0,0,3,1,0,1,2,2,0.0,0,1,0,0,1,0.0,7,0.0,0.0,16,1,0.0,0.0,1.0,0.0
6039,Sebastian Rudy,Germany,14,2,0,14,0,1,0,0,0,0.0,1,0,0,0,0,0.0,17,1.0,1.0,5,1,0.0,0.0,0.0,0.0
6040,Jonas Hector,Germany,96,6,5,81,3,0,2,0,8,0.0,2,3,0,2,1,0.0,107,0.0,0.0,22,2,0.0,0.0,0.0,0.0
6138,Ricardo Guardia Avila,Panama,37,8,0,32,0,3,3,4,4,0.0,5,2,0,1,0,0.0,43,0.0,0.0,38,1,0.0,0.0,0.0,0.0
6139,Felipe Abdiel Baloy Ramírez,Panama,16,1,0,15,3,0,0,0,0,0.0,0,0,0,0,0,0.0,16,0.0,0.0,2,1,0.0,0.0,0.0,0.0
6140,Abdiel Arroyo Molinar,Panama,7,1,1,3,0,0,1,1,1,0.0,1,0,0,1,0,0.0,6,0.0,0.0,10,0,0.0,0.0,0.0,0.0
6191,Takashi Usami,Japan,40,4,2,35,2,2,3,3,1,0.0,2,3,0,1,1,0.0,42,0.0,0.0,24,3,0.0,0.0,0.0,0.0
6192,Abel Enrique Aguilar Tapia,Colombia,11,0,0,9,0,0,0,1,0,0.0,0,0,0,0,0,0.0,13,0.0,0.0,5,0,0.0,0.0,0.0,0.0
6193,Andrés Mateus Uribe Villa,Colombia,91,11,7,83,2,4,4,2,8,0.0,2,1,0,2,4,0.0,88,0.0,0.0,52,3,0.0,0.0,0.0,0.0
6194,Łukasz Teodorczyk,Poland,21,1,0,11,0,2,3,0,4,0.0,1,0,0,0,2,0.0,8,0.0,0.0,14,1,0.0,0.0,0.0,0.0
6195,Jacek Góralski,Poland,57,6,5,51,1,0,2,5,16,0.0,4,5,0,3,0,0.0,67,0.0,0.0,97,1,0.0,0.0,0.0,2.0
6196,Yerry Fernando Mina González,Colombia,117,12,7,124,17,0,1,1,14,1.0,7,5,0,4,0,0.0,159,0.0,0.0,32,3,0.0,0.0,0.0,0.0
6290,Motaz Ali Hassan Hawsawi,Saudi Arabia,18,4,1,21,0,0,0,1,3,0.0,0,1,0,0,1,0.0,31,0.0,0.0,12,0,0.0,0.0,0.0,0.0
6291,Yasser Abdullah Al Mosailem,Saudi Arabia,8,1,0,7,0,0,0,0,0,0.0,0,0,10,0,0,0.0,13,0.0,0.0,0,0,0.0,0.0,0.0,0.0
6292,Essam Kamal Tawfik El Hadary,Egypt,2,5,0,6,0,0,0,0,0,0.0,0,0,22,0,0,0.0,19,0.0,0.0,0,0,0.0,0.0,0.0,0.0
6297,Maximiliano Gómez González,Uruguay,11,1,0,3,0,0,0,0,3,0.0,1,1,0,0,2,0.0,4,0.0,0.0,10,0,0.0,0.0,0.0,0.0
6298,Igor Smolnikov,Russia,11,2,1,11,0,0,0,1,0,0.0,2,2,0,0,1,0.0,12,0.0,0.0,3,0,0.0,0.0,0.0,0.0
6299,Aleksey Miranchuk,Russia,21,4,0,20,0,1,1,0,4,0.0,1,1,0,0,1,0.0,20,0.0,0.0,30,0,0.0,0.0,0.0,0.0
6300,Sebastián Coates Nión,Uruguay,50,1,2,51,1,0,0,1,4,0.0,3,0,0,1,0,0.0,64,0.0,0.0,7,0,0.0,0.0,0.0,0.0
6301,Youssef En-Nesyri,Morocco,8,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,5,0.0,0.0,4,1,0.0,0.0,0.0,0.0
6302,Kasper Dolberg,Denmark,11,1,0,5,0,0,0,1,3,0.0,1,0,0,0,1,0.0,5,0.0,0.0,4,0,0.0,0.0,0.0,0.0
6303,Viktor Fischer,Denmark,13,2,0,10,1,0,2,0,0,0.0,0,0,0,1,0,0.0,8,0.0,0.0,14,1,0.0,0.0,0.0,0.0
6304,Arnór Ingvi Traustason,Iceland,2,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0
6305,Milan Badelj,Croatia,63,6,5,65,1,2,2,2,5,0.0,4,2,0,3,2,0.0,73,0.0,0.0,37,3,0.0,0.0,0.0,0.0
6306,Albert Gudmundsson,Iceland,2,0,0,1,0,0,0,0,0,0.0,0,1,0,0,0,0.0,2,0.0,0.0,2,0,0.0,0.0,0.0,0.0
6307,Duje Ćaleta-Car,Croatia,29,1,2,30,7,0,1,0,3,0.0,1,0,0,0,0,0.0,34,0.0,0.0,19,0,0.0,1.0,0.0,0.0
6308,Josip Pivarić,Croatia,123,12,3,121,4,1,9,3,2,0.0,5,0,0,1,0,0.0,158,0.0,0.0,28,3,0.0,0.0,0.0,0.0
6309,Tin Jedvaj,Croatia,33,0,2,33,4,0,0,0,2,0.0,1,0,0,1,2,0.0,51,0.0,0.0,27,0,0.0,0.0,0.0,0.0
6310,Filip Bradarić,Croatia,9,1,0,9,1,0,0,0,1,0.0,0,0,0,0,0,0.0,11,0.0,0.0,4,0,0.0,0.0,0.0,0.0
6311,Lovre Kalinić,Croatia,7,5,0,9,0,0,0,0,0,0.0,0,1,21,0,0,0.0,16,0.0,0.0,0,0,0.0,0.0,0.0,0.0
6312,Franco Armani,Argentina,26,10,0,28,0,0,0,0,0,0.0,0,0,21,0,0,0.0,41,0.0,0.0,0,0,0.0,0.0,0.0,0.0
