player_id,player_name,team_name,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Offside,Pass,Player Off,Player On,Pressure,Shield,Shot,match_id,Bad Behaviour,Own Goal Against,50/50,Own Goal For
8270,Daniel Schwaab,VfB Stuttgart,41,1,1,40,3,0,0,0,3,,1,0,0,1,0,0.0,57,0.0,0.0,9,0.0,0,3890455,,,0.0,
8512,Franco Matías Di Santo,Schalke 04,12,1,2,7,0,1,1,0,0,,2,0,0,0,0,0.0,6,0.0,0.0,6,0.0,1,3890455,,,0.0,
8517,Ralf Fährmann,Schalke 04,20,0,1,16,0,0,0,0,0,,0,0,22,0,0,0.0,38,0.0,0.0,0,0.0,0,3890455,,,0.0,
8550,Alexandru Iulian Maxim,VfB Stuttgart,18,0,2,15,0,0,0,0,0,,0,2,0,0,0,0.0,27,0.0,0.0,7,0.0,1,3890455,,,0.0,
8557,Martin Harnik,VfB Stuttgart,12,1,1,5,0,1,1,0,0,,2,0,0,0,0,0.0,4,0.0,0.0,2,0.0,3,3890455,,,0.0,
8958,Dennis Aogo,Schalke 04,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,3890455,,,0.0,
8959,Christian Gentner,VfB Stuttgart,62,6,0,39,2,0,2,0,3,,2,4,0,1,3,0.0,57,0.0,0.0,18,0.0,4,3890455,,,0.0,
9082,Przemysław Tytoń,VfB Stuttgart,12,3,0,9,0,0,0,0,0,,0,0,16,0,0,0.0,29,0.0,0.0,0,0.0,0,3890455,,,0.0,
11281,Alessandro Schöpf,Schalke 04,36,2,2,25,4,3,6,1,4,,2,2,0,0,3,0.0,19,0.0,0.0,17,0.0,3,3890455,,,0.0,
11395,Lukas Rupp,VfB Stuttgart,49,8,2,41,2,5,1,2,13,,2,0,0,1,4,0.0,43,0.0,0.0,25,0.0,1,3890455,,,0.0,
12626,Emiliano Adrián Insúa Zapata,VfB Stuttgart,35,5,3,28,5,0,4,3,6,,1,1,0,1,1,0.0,50,0.0,0.0,12,0.0,0,3890455,,,0.0,
16534,Roman Neustädter,Schalke 04,36,4,3,33,3,0,1,0,3,,1,0,0,0,0,0.0,48,0.0,0.0,17,0.0,0,3890455,,,0.0,
20665,Kevin Großkreutz,VfB Stuttgart,31,4,2,24,3,2,0,2,2,,1,2,0,0,1,0.0,46,0.0,0.0,5,0.0,0,3890455,,,0.0,
27639,Artem Kravets,VfB Stuttgart,8,1,0,2,0,0,0,0,0,,1,0,0,0,0,0.0,4,0.0,0.0,2,0.0,1,3890455,,,0.0,
30312,Uilson de Souza Paula Júnior,Schalke 04,28,7,4,23,7,1,0,0,5,,1,1,0,2,1,0.0,43,0.0,0.0,13,0.0,0,3890455,,,1.0,
34558,Sereso Geoffroy Gonzaroua Dié,VfB Stuttgart,24,5,2,27,5,0,1,1,3,,1,2,0,1,0,0.0,32,0.0,0.0,9,0.0,1,3890455,,,0.0,
40470,Georg Niedermeier,VfB Stuttgart,32,3,0,31,2,0,0,0,4,,0,2,0,0,1,0.0,48,0.0,0.0,9,0.0,0,3890455,,,0.0,
3275,Henrikh Mkhitaryan,Borussia Dortmund,66,6,1,66,0,0,7,1,7,0.0,2,2,0,0,2,,70,,,19,0.0,3,3890464,,,0.0,
3712,Pierre-Emerick Aubameyang,Borussia Dortmund,29,0,0,14,0,1,1,0,2,0.0,0,1,0,0,1,,12,,,7,0.0,5,3890464,,,0.0,
4430,Neven Subotić,Borussia Dortmund,117,8,1,114,2,0,0,0,1,0.0,1,2,0,1,1,,122,,,7,0.0,0,3890464,,,1.0,
5537,Fabian Lukas Schär,Hoffenheim,16,3,2,14,7,0,0,1,2,0.0,0,1,0,0,0,,19,,,8,0.0,1,3890464,,,0.0,
5559,Marco Reus,Borussia Dortmund,46,5,2,37,0,1,1,0,1,0.0,0,0,0,0,1,,39,,,13,0.0,2,3890464,,,0.0,
5658,Łukasz Piszczek,Borussia Dortmund,113,4,2,107,3,1,2,0,3,0.0,0,0,0,3,1,,132,,,13,0.0,4,3890464,,,0.0,
5684,Shinji Kagawa,Borussia Dortmund,30,4,1,23,0,2,3,0,1,0.0,1,2,0,0,0,,18,,,16,0.0,0,3890464,,,1.0,
6039,Sebastian Rudy,Hoffenheim,17,6,1,12,1,0,1,1,1,0.0,4,0,0,1,3,,17,,,20,0.0,2,3890464,,,1.0,
6322,Niklas Süle,Hoffenheim,13,0,2,9,6,0,0,1,2,0.0,0,0,0,0,0,,21,,,6,0.0,0,3890464,,,0.0,
8215,Kevin Volland,Hoffenheim,39,5,2,25,0,3,2,0,3,0.0,2,3,0,0,3,,17,,,37,0.0,3,3890464,,,0.0,
8216,Sven Bender,Borussia Dortmund,104,14,3,109,5,0,0,1,5,0.0,1,1,0,1,0,,119,,,10,0.0,0,3890464,,,0.0,
8225,Roman Bürki,Borussia Dortmund,11,3,0,16,0,0,0,0,0,1.0,0,0,13,0,0,,22,,,0,0.0,0,3890464,,,0.0,
8232,Nuri Şahin,Borussia Dortmund,66,4,2,61,2,0,0,2,2,0.0,0,0,0,0,0,,84,,,15,0.0,2,3890464,,,0.0,
8387,Mark Uth,Hoffenheim,39,2,6,13,0,1,1,1,4,0.0,1,1,0,3,3,,17,,,42,0.0,1,3890464,,,0.0,
8392,Jeremy Toljan,Hoffenheim,18,3,4,9,4,2,0,4,4,0.0,0,1,0,0,2,,31,,,24,0.0,0,3890464,,,0.0,
8393,Oliver Baumann,Hoffenheim,15,4,0,16,0,0,0,0,0,0.0,0,0,34,0,0,,41,,,0,0.0,0,3890464,,,0.0,
8403,Nadiem Amiri,Hoffenheim,18,5,1,16,0,2,3,1,2,0.0,2,1,0,1,1,,18,,,27,0.0,0,3890464,,,1.0,
8404,Eugen Polanski,Hoffenheim,8,1,0,6,1,0,0,0,0,0.0,0,0,0,0,0,,11,,,12,0.0,1,3890464,,,0.0,
8556,Pirmin Schwegler,Hoffenheim,10,0,0,4,0,0,1,0,1,0.0,0,0,0,0,0,,3,,,6,0.0,1,3890464,,,0.0,
8816,Julian Weigl,Borussia Dortmund,96,7,1,97,0,1,1,1,2,0.0,0,1,0,1,1,,103,,,12,0.0,0,3890464,,,0.0,
9396,Ermin Bičakčić,Hoffenheim,12,2,4,10,6,0,1,1,0,0.0,0,0,0,3,0,,18,,,10,1.0,0,3890464,,,0.0,
9397,Pavel Kadeřábek,Hoffenheim,28,2,6,14,5,1,2,0,4,0.0,0,0,0,1,0,,38,,,13,0.0,0,3890464,,,0.0,
9475,Moritz Leitner,Borussia Dortmund,9,0,0,8,0,0,0,0,0,0.0,0,0,0,0,0,,8,,,5,0.0,0,3890464,,,0.0,
10287,İlkay Gündoğan,Borussia Dortmund,70,3,1,68,2,0,1,0,0,0.0,1,1,0,0,0,,71,,,9,0.0,5,3890464,,,0.0,
11458,Marcel Schmelzer,Borussia Dortmund,63,1,4,61,5,1,2,1,8,0.0,2,0,0,1,1,,68,,,14,0.0,4,3890464,,,0.0,
12321,Tobias Strobl,Hoffenheim,20,3,3,19,3,3,1,0,3,0.0,1,1,0,1,0,,22,,,25,0.0,0,3890464,,,0.0,
24324,Gustavo Adrián Ramos Vásquez,Borussia Dortmund,4,3,0,4,2,1,0,0,1,0.0,0,1,0,0,0,,3,,,4,0.0,1,3890464,,,0.0,
30847,Jiloan Hamad,Hoffenheim,12,4,0,9,0,0,0,0,2,0.0,2,0,0,0,2,,12,,,7,0.0,0,3890464,,,0.0,
3053,Leroy Sané,Schalke 04,16,1,0,11,0,3,3,0,0,,0,0,0,0,0,,6,0.0,0.0,4,0.0,1,3890465,0.0,,0.0,
3502,Joël Andre Job Matip,Schalke 04,32,0,2,22,12,0,0,0,1,,0,0,0,2,0,,41,0.0,0.0,6,0.0,0,3890465,0.0,,0.0,
3510,Sead Kolašinac,Schalke 04,52,3,4,28,2,0,5,0,10,,1,0,0,1,4,,44,0.0,0.0,25,0.0,2,3890465,0.0,,1.0,
3570,Pierre-Emile Højbjerg,Schalke 04,68,6,3,53,5,0,2,1,4,,3,1,0,0,1,,67,0.0,0.0,13,0.0,1,3890465,0.0,,0.0,
