player_id,player_name,team_name,50/50,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Offside,Own Goal Against,Pass,Pressure,Shield,Shot,match_id,Player Off,Player On,Bad Behaviour
2988,Memphis Depay,Netherlands,0.0,32,1,1,13,0,2,2,0,2,,0,1,0,0,4,0.0,,12,1,0.0,0,3857274,0.0,0.0,
3306,Nathan Aké,Netherlands,0.0,66,2,2,60,2,0,0,0,5,,0,2,0,1,0,0.0,,82,7,0.0,0,3857274,0.0,0.0,
3311,Daley Blind,Netherlands,0.0,59,6,1,47,1,1,0,0,4,,0,0,0,1,2,0.0,,66,11,0.0,0,3857274,0.0,0.0,
3669,Virgil van Dijk,Netherlands,0.0,46,3,2,36,11,0,0,1,4,,0,2,0,1,0,0.0,,55,7,0.0,0,3857274,0.0,0.0,
4318,Davy Klaassen,Netherlands,1.0,24,2,1,14,0,0,0,0,2,,0,0,0,0,2,0.0,,26,6,0.0,0,3857274,0.0,0.0,
6994,Marten de Roon,Netherlands,0.0,6,0,1,5,0,0,0,0,2,,0,0,0,0,0,0.0,,9,5,0.0,0,3857274,0.0,0.0,
7745,Steven Berghuis,Netherlands,0.0,14,0,1,11,0,0,0,0,3,,1,0,0,0,1,0.0,,16,5,0.0,0,3857274,0.0,0.0,
7829,Wout Weghorst,Netherlands,0.0,3,0,1,1,0,0,0,0,2,,0,0,0,0,0,0.0,,2,1,0.0,0,3857274,0.0,0.0,
7891,Teun Koopmeiners,Netherlands,0.0,36,5,5,31,1,2,1,2,3,,2,1,0,1,2,0.0,,37,24,0.0,1,3857274,0.0,0.0,
8118,Frenkie de Jong,Netherlands,0.0,62,2,3,49,0,2,1,0,6,,1,0,0,0,0,0.0,,73,16,0.0,0,3857274,0.0,0.0,
8125,Denzel Dumfries,Netherlands,0.0,32,1,2,19,0,2,1,0,5,,4,3,0,1,3,0.0,,30,16,1.0,0,3857274,0.0,0.0,
8259,Steven Bergwijn,Netherlands,0.0,29,1,0,16,0,1,1,0,2,,1,2,0,0,0,0.0,,16,3,0.0,0,3857274,0.0,0.0,
