player_id,player_name,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Offside,Pass,Player Off,Player On,Pressure,Shield,Shot,Bad Behaviour,Own Goal Against,50/50,Own Goal For,team_name
3118,Jordan Ferri,203,14,5,187,2,7,10,2,9,0.0,6,7,0,2,5,0.0,200,0.0,0.0,41,0.0,0,0.0,0.0,1.0,0.0,Lyon | Montpellier
3122,Yannis Salibur,40,2,3,32,1,4,3,1,2,0.0,2,2,0,1,1,0.0,29,0.0,0.0,12,0.0,1,0.0,0.0,0.0,0.0,Guingamp | Mallorca
3124,Jérémy Sorbon,9,6,3,16,5,0,0,0,4,0.0,2,2,0,3,0,0.0,25,0.0,0.0,12,0.0,0,0.0,0.0,0.0,0.0,Guingamp
3130,Gaël Kakuta,28,3,0,18,0,2,1,0,2,0.0,1,4,0,0,0,0.0,14,0.0,0.0,13,0.0,1,0.0,0.0,0.0,0.0,Lens
3136,Rémi Walter,74,11,3,72,3,0,1,0,4,0.0,0,1,0,1,1,0.0,85,0.0,0.0,25,0.0,0,0.0,0.0,0.0,0.0,OGC Nice
3138,Abdoulaye Touré,7,1,1,7,0,0,0,0,1,0.0,0,0,0,1,0,0.0,10,0.0,0.0,3,0.0,1,0.0,0.0,0.0,0.0,Nantes
3139,Chidozie Collins Awaziem,14,3,2,16,4,1,1,2,2,0.0,4,0,0,0,1,0.0,19,0.0,0.0,12,1.0,0,0.0,0.0,0.0,0.0,Leganés
3140,François Bellugou,49,4,2,40,2,2,4,2,5,0.0,3,1,0,3,0,0.0,62,0.0,0.0,19,0.0,0,0.0,0.0,3.0,0.0,Lorient
3141,André-Frank Zambo Anguissa,102,9,5,103,3,3,4,1,6,0.0,5,0,0,4,4,0.0,107,0.0,0.0,53,0.0,0,0.0,0.0,0.0,0.0,Cameroon | Villarreal
3143,Andrei Girotto,122,14,18,108,17,0,1,13,29,0.0,10,3,0,10,2,0.0,147,0.0,0.0,104,0.0,2,0.0,0.0,0.0,0.0,Nantes
3144,Léo Dubois,58,9,1,63,4,2,2,1,6,0.0,0,1,0,2,0,0.0,71,0.0,0.0,14,0.0,0,0.0,0.0,0.0,0.0,Nantes
3149,Wylan Jean-Claude Cyprien,12,0,0,11,0,1,0,0,2,0.0,0,0,0,0,0,0.0,11,0.0,0.0,7,0.0,0,0.0,0.0,0.0,0.0,Nantes
3151,Jules Iloki,20,4,0,15,0,1,0,0,1,0.0,1,0,0,0,0,0.0,15,0.0,0.0,6,0.0,2,0.0,0.0,0.0,0.0,Nantes
3153,Ádám Lang,8,1,1,7,2,0,0,0,1,0.0,0,0,0,2,1,0.0,19,0.0,0.0,5,0.0,0,0.0,0.0,0.0,0.0,Hungary
3154,Miguel Ângelo da Silva Rocha,37,4,1,36,1,0,1,4,9,0.0,1,0,0,5,1,0.0,42,0.0,0.0,23,0.0,1,0.0,0.0,2.0,0.0,Lille
3156,Rafael Pereira da Silva,42,5,1,41,5,3,4,0,5,0.0,1,1,0,0,0,0.0,53,0.0,0.0,11,0.0,2,0.0,0.0,0.0,0.0,Lyon
3161,Chaouki Ben Saada,10,2,0,11,0,2,1,1,1,0.0,2,0,0,0,0,0.0,8,0.0,0.0,11,0.0,0,0.0,0.0,0.0,0.0,Troyes
3163,Mariano Díaz Mejía,13,0,1,6,1,1,1,0,2,0.0,1,0,0,0,2,0.0,5,0.0,0.0,18,0.0,1,0.0,0.0,0.0,0.0,Real Madrid
3164,Marcelo Antônio Guedes Filho,84,8,2,78,11,0,1,2,7,0.0,2,3,0,0,0,0.0,118,0.0,0.0,23,1.0,1,0.0,0.0,0.0,0.0,Hannover 96
3166,Marco Verratti,2817,151,45,2568,17,35,42,49,109,2.0,50,79,0,33,19,0.0,3036,1.0,1.0,699,0.0,6,2.0,1.0,6.0,0.0,Paris Saint-Germain
3167,Antonio Rüdiger,410,29,14,398,21,2,1,2,11,0.0,6,4,0,6,1,0.0,467,1.0,1.0,42,0.0,4,1.0,1.0,0.0,0.0,Germany
3168,João Filipe Iria Santos Moutinho,159,15,6,118,1,6,1,3,9,0.0,4,4,0,1,5,0.0,159,0.0,0.0,52,0.0,4,0.0,0.0,1.0,0.0,AS Monaco | Portugal
3174,Lévy Koffi Djidji,29,4,2,27,6,0,0,2,4,0.0,2,0,0,4,0,0.0,43,0.0,0.0,15,0.0,0,0.0,0.0,0.0,0.0,Nantes
3176,Thomas Meunier,37,7,4,37,6,0,1,1,3,0.0,2,0,0,1,1,0.0,51,0.0,0.0,7,0.0,1,0.0,0.0,0.0,0.0,Belgium | Borussia Dortmund
3179,Nolan Roux,57,5,1,21,1,4,1,0,2,0.0,1,5,0,0,1,0.0,20,0.0,0.0,16,0.0,1,0.0,0.0,0.0,0.0,Saint-Étienne
3181,Lassana Diarra,22,5,0,22,0,1,0,2,1,0.0,1,0,0,0,0,0.0,28,0.0,0.0,14,0.0,0,0.0,0.0,1.0,0.0,Olympique de Marseille
3184,Enzo Crivelli,4,0,0,4,0,0,0,0,1,0.0,0,1,0,0,0,0.0,4,0.0,0.0,3,0.0,1,0.0,0.0,0.0,0.0,Bordeaux
3185,Thomas Mangani,32,5,3,27,4,2,0,3,4,0.0,0,3,0,1,1,0.0,38,0.0,0.0,32,0.0,1,1.0,0.0,0.0,0.0,AC Ajaccio
3186,Julian Draxler,283,29,0,253,0,14,28,4,10,0.0,6,5,0,4,8,0.0,247,0.0,0.0,48,0.0,14,0.0,0.0,1.0,0.0,Paris Saint-Germain | Schalke 04 | Wolfsburg
3189,Étienne Didot,492,53,15,348,11,15,9,17,44,0.0,22,15,0,11,18,0.0,576,2.0,2.0,239,0.0,7,0.0,0.0,4.0,0.0,Toulouse
3190,Gaëtan Laborde,34,4,3,20,0,2,1,2,3,0.0,2,0,0,1,2,0.0,18,0.0,0.0,39,0.0,2,0.0,0.0,0.0,0.0,OGC Nice
3191,Ramy Bensebaini,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,1,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,Montpellier
3193,Bernardo Mota Veiga de Carvalho e Silva,247,20,8,200,3,8,9,6,18,0.0,10,8,0,8,8,0.0,226,0.0,0.0,102,0.0,7,0.0,0.0,0.0,0.0,AS Monaco | Portugal
3195,Mehdi Zeffane,18,3,2,17,0,0,0,1,0,0.0,0,0,0,3,1,0.0,17,0.0,0.0,12,0.0,1,0.0,0.0,0.0,0.0,Clermont Foot
3196,Wahbi Khazri,33,5,1,22,1,2,2,2,4,0.0,2,3,0,2,3,0.0,24,0.0,0.0,14,0.0,2,0.0,0.0,0.0,0.0,Montpellier
3197,Dante Bonfim da Costa Santos,335,25,17,313,16,2,1,2,5,0.0,6,1,0,9,0,0.0,404,0.0,0.0,54,1.0,5,0.0,0.0,0.0,0.0,OGC Nice | Wolfsburg
3198,Moussa Niakhate,93,7,9,76,4,0,0,1,6,0.0,2,5,0,2,0,0.0,118,1.0,1.0,29,0.0,1,0.0,0.0,0.0,0.0,Senegal
3199,Pierre Lees Melou,74,17,4,72,2,2,0,3,5,0.0,3,3,0,2,1,0.0,86,0.0,0.0,57,0.0,1,1.0,0.0,0.0,0.0,Stade Brestois
3200,Renaud Cohade,59,5,3,35,0,0,1,0,4,0.0,1,0,0,0,1,0.0,53,0.0,0.0,8,0.0,2,0.0,0.0,0.0,0.0,Saint-Étienne
3202,Gabriel Fernando de Jesus,29,5,1,26,0,1,6,1,1,0.0,2,0,0,3,3,0.0,20,0.0,0.0,41,0.0,1,0.0,0.0,0.0,0.0,Brazil
3205,Kyle Walker,73,5,3,76,2,0,1,0,0,0.0,1,1,0,2,1,0.0,99,0.0,0.0,13,0.0,0,0.0,0.0,0.0,0.0,England
3210,Valère Germain,129,6,3,57,3,1,1,2,9,0.0,2,1,0,1,6,0.0,85,0.0,0.0,37,0.0,4,0.0,0.0,1.0,0.0,Montpellier | OGC Nice
3211,Florent Balmont,99,5,2,75,0,1,0,4,2,0.0,1,3,0,1,1,0.0,99,1.0,1.0,25,1.0,3,0.0,0.0,0.0,0.0,Lille
3213,Jimmy Briand,63,6,4,31,2,1,1,0,3,0.0,1,1,0,1,2,0.0,41,0.0,0.0,14,0.0,2,0.0,0.0,0.0,0.0,Guingamp
3215,Dimitri Liénard,63,2,0,53,1,3,1,1,5,0.0,2,0,0,0,1,0.0,68,0.0,0.0,21,0.0,2,0.0,0.0,0.0,0.0,Strasbourg
3216,Nuno Miguel da Costa Jóia,57,2,1,25,0,0,2,0,6,0.0,0,2,0,0,5,0.0,24,0.0,0.0,10,0.0,2,0.0,0.0,0.0,0.0,Auxerre
3221,Markus Suttner,34,6,6,39,6,0,2,3,8,0.0,2,0,0,5,3,0.0,60,1.0,1.0,33,0.0,1,0.0,0.0,0.0,0.0,Ingolstadt
3224,Arnaud Souquet,27,2,3,21,0,2,1,7,3,0.0,3,0,0,3,0,0.0,31,0.0,0.0,27,0.0,1,0.0,0.0,0.0,0.0,Montpellier
3226,Bassem Srarfi,9,3,2,8,1,0,0,0,0,0.0,0,0,0,0,1,0.0,9,0.0,0.0,4,0.0,0,0.0,0.0,0.0,0.0,Tunisia
3229,Maxime Le Marchand,123,16,3,108,6,0,2,2,6,0.0,3,1,0,3,0,0.0,161,0.0,0.0,32,0.0,2,0.0,0.0,0.0,0.0,OGC Nice | Strasbourg
3230,Alassane Pléa,56,5,0,44,0,2,2,0,4,0.0,1,2,0,0,5,0.0,46,0.0,0.0,13,0.0,1,0.0,0.0,0.0,0.0,Borussia Mönchengladbach
3235,Ludovic Blas,170,19,3,166,1,12,16,3,7,0.0,2,10,0,6,6,0.0,152,0.0,0.0,69,0.0,11,0.0,0.0,1.0,0.0,Nantes
3236,Sergi Darder Moll,70,10,1,66,1,2,3,6,2,0.0,3,0,0,1,1,0.0,70,0.0,0.0,51,0.0,3,0.0,0.0,0.0,0.0,Espanyol
3240,Mathew Ryan,52,9,0,57,0,1,1,0,0,0.0,0,0,30,0,0,0.0,87,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,Australia | Valencia
3244,John Stones,63,4,0,63,4,0,0,0,0,0.0,2,0,0,0,0,0.0,76,0.0,0.0,10,0.0,0,0.0,0.0,0.0,0.0,England
3245,Thomas Lemar,51,9,1,41,1,3,6,2,5,0.0,0,3,0,0,5,0.0,39,0.0,0.0,33,0.0,3,0.0,0.0,0.0,0.0,AS Monaco | Atlético Madrid
3246,Guido Marcelo Carrillo,67,3,2,24,2,0,2,1,11,0.0,1,5,0,1,2,0.0,28,0.0,0.0,26,0.0,7,0.0,0.0,0.0,0.0,AS Monaco | Elche | Leganés
3247,Fábio Henrique Tavares,34,9,4,30,1,0,0,3,5,0.0,8,3,0,1,1,0.0,47,0.0,0.0,26,0.0,0,0.0,0.0,0.0,0.0,AS Monaco
