country,roster_name,position,shirt_number
Korea Republic (KOR),HWANG Heechan,Midfielder,11
Korea Republic (KOR),SONG Bumkeun,Goalkeeper,12
Korea Republic (KOR),LEE Taeseok,Defender,13
Korea Republic (KOR),CHO Wije,Defender,14
Korea Republic (KOR),KIM Moonhwan,Defender,15
Korea Republic (KOR),PARK Jinseob,Defender,16
Korea Republic (KOR),BAE Junho,Midfielder,17
Korea Republic (KOR),OH Hyeongyu,Forward,18
Korea Republic (KOR),LEE Kangin,Midfielder,19
Korea Republic (KOR),YANG Hyunjun,Midfielder,20
Korea Republic (KOR),JO Hyeonwoo,Goalkeeper,21
Korea Republic (KOR),SEOL Youngwoo,Defender,22
Korea Republic (KOR),CASTROP Jens,Defender,23
Korea Republic (KOR),KIM Jingyu,Midfielder,24
Korea Republic (KOR),EOM Jisung,Midfielder,25
Korea Republic (KOR),LEE Donggyeong,Midfielder,26
Mexico (MEX),RANGEL Raul,Goalkeeper,1
Mexico (MEX),LIRA Erik,Midfielder,6
Mexico (MEX),FIDALGO Alvaro,Midfielder,8
Mexico (MEX),ACEVEDO Carlos,Goalkeeper,12
Mexico (MEX),GONZALEZ Armando,Forward,14
Mexico (MEX),VARGAS Obed,Midfielder,18
Mexico (MEX),MORA Gilberto,Midfielder,19
Mexico (MEX),CHAVEZ Mateo,Defender,20
Mexico (MEX),GUTIERREZ Brian,Midfielder,26
Morocco (MAR),SAADANE Marwane,Defender,5
Morocco (MAR),BOUADDI Ayyoub,Midfielder,6
Morocco (MAR),TALBI Chemsdine,Midfielder,7
Morocco (MAR),RAHIMI Sou,Forward,9
Morocco (MAR),DIAZ Brahim,Forward,10
Morocco (MAR),EL KAJOUI,Goalkeeper,12
Morocco (MAR),EL OUAHDI,Defender,13
Morocco (MAR),DIOP Issa,Defender,14
Morocco (MAR),EL MOURABET,Midfielder,15
Morocco (MAR),YASSINE Gessime,Midfielder,16
Morocco (MAR),SBAI Amine,Forward,17
Morocco (MAR),RIAD Chadi,Defender,18
