country,country_clean,roster_name,position,shirt_number,player_id,database_name,database_team,matched,match_method
England (ENG),England,SPENCE Djed,Defender,25,,,,False,unmatched
England (ENG),England,QUANSAH Jarell,Defender,26,,,,False,unmatched
France (FRA),France,SAMBA Brice,Goalkeeper,1,,,,False,unmatched
France (FRA),France,GUSTO Malo,Defender,2,,,,False,unmatched
France (FRA),France,KONE Manu,Midfielder,6,,,,False,unmatched
France (FRA),France,OLISE Michael,Forward,11,,,,False,unmatched
France (FRA),France,ZAIRE-EMERY Warren,Midfielder,18,,,,False,unmatched
France (FRA),France,DOUE Desire,Forward,20,,,,False,unmatched
France (FRA),France,MATETA Jean-Philippe,Forward,22,,,,False,unmatched
France (FRA),France,RISSER Robin,Goalkeeper,23,,,,False,unmatched
France (FRA),France,CHERKI Rayan,Midfielder,24,,,,False,unmatched
France (FRA),France,AKLIOUCHE Maghnes,Midfielder,25,,,,False,unmatched
France (FRA),France,LACROIX Maxence,Defender,26,,,,False,unmatched
Germany (GER),Germany,PAVLOVIC Aleksandar,Midfielder,5,,,,False,unmatched
Germany (GER),Germany,LEWELING Jamie,Midfielder,9,,,,False,unmatched
Germany (GER),Germany,WOLTEMADE Nick,Forward,11,,,,False,unmatched
Germany (GER),Germany,BAUMANN Oliver,Goalkeeper,12,,,,False,unmatched
Germany (GER),Germany,STILLER Angelo,Midfielder,16,,,,False,unmatched
Germany (GER),Germany,BROWN Nathaniel,Defender,18,,,,False,unmatched
Germany (GER),Germany,AMIRI Nadiem,Midfielder,20,,,,False,unmatched
Germany (GER),Germany,NUEBEL Alexander,Goalkeeper,21,,,,False,unmatched
Germany (GER),Germany,NMECHA Felix,Midfielder,23,,,,False,unmatched
Germany (GER),Germany,THIAW Malick,Defender,24,,,,False,unmatched
Germany (GER),Germany,OUEDRAOGO Assan,Midfielder,25,,,,False,unmatched
Ghana (GHA),Ghana,YIRENKYI Caleb,Midfielder,3,,,,False,unmatched
Ghana (GHA),Ghana,ADJETEY Jonas,Defender,4,,,,False,unmatched
Ghana (GHA),Ghana,MUMIN Abdul,Defender,6,,,,False,unmatched
Ghana (GHA),Ghana,SIBO Kwasi,Midfielder,8,,,,False,unmatched
Ghana (GHA),Ghana,THOMAS-ASANTE Brandon,Forward,10,,,,False,unmatched
Ghana (GHA),Ghana,ANANG Joseph,Goalkeeper,12,,,,False,unmatched
Ghana (GHA),Ghana,BONSU BAAH,Forward,13,,,,False,unmatched
Ghana (GHA),Ghana,ASARE Benjamin,Goalkeeper,16,,,,False,unmatched
Ghana (GHA),Ghana,OPOKU Jerome,Defender,18,,,,False,unmatched
Ghana (GHA),Ghana,BOAKYE Augustine,Midfielder,20,,,,False,unmatched
Ghana (GHA),Ghana,OPPONG Kojo,Defender,21,,,,False,unmatched
Ghana (GHA),Ghana,LUCKASSEN Derrick,Defender,23,,,,False,unmatched
Ghana (GHA),Ghana,ADU Prince,Forward,25,,,,False,unmatched
Ghana (GHA),Ghana,SENAYA Marvin,Defender,26,,,,False,unmatched
Haiti (HAI),Haiti,PLACIDE Johny,Goalkeeper,1,,,,False,unmatched
Haiti (HAI),Haiti,ARCUS Carlens,Defender,2,,,,False,unmatched
Haiti (HAI),Haiti,THERMONCY Keeto,Defender,3,,,,False,unmatched
Haiti (HAI),Haiti,ADE Ricardo,Defender,4,,,,False,unmatched
Haiti (HAI),Haiti,DELCROIX Hannes,Defender,5,,,,False,unmatched
Haiti (HAI),Haiti,SAINTE Carl,Midfielder,6,,,,False,unmatched
Haiti (HAI),Haiti,ETIENNE Derrick,Forward,7,,,,False,unmatched
Haiti (HAI),Haiti,EXPERIENCE Martin,Defender,8,,,,False,unmatched
Haiti (HAI),Haiti,NAZON Duckens,Forward,9,,,,False,unmatched
Haiti (HAI),Haiti,BELLEGARDE Jean-Ricner,Midfielder,10,,,,False,unmatched
Haiti (HAI),Haiti,DEEDSON Louicius,Forward,11,,,,False,unmatched
Haiti (HAI),Haiti,PIERRE Alexandre,Goalkeeper,12,,,,False,unmatched
