player_id,player_name,team_name,50/50,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Offside,Own Goal Against,Pass,Pressure,Shield,Shot,Player Off,Player On,Bad Behaviour
8361,Ritsu Doan,Japan,1.0,81,13,9,54,3,4,10,3,10,0.0,4,4,0,5,4,0.0,0.0,57,44,0.0,4,0.0,0.0,0.0
8400,Serge Gnabry,Germany,1.0,131,19,4,101,2,6,6,1,10,0.0,2,2,0,5,3,0.0,0.0,113,34,0.0,12,0.0,0.0,0.0
8507,Lukas Klostermann,Germany,0.0,34,1,0,30,0,0,0,0,3,0.0,1,0,0,1,0,0.0,0.0,47,12,0.0,0,0.0,0.0,0.0
8511,Thilo Kehrer,Germany,1.0,25,3,2,16,2,0,0,1,5,0.0,4,0,0,2,0,0.0,0.0,28,21,0.0,0,0.0,0.0,0.0
8519,Dayotchanculle Upamecano,France,1.0,294,17,15,283,13,0,1,0,25,0.0,4,3,0,13,0,0.0,0.0,345,54,2.0,0,0.0,0.0,0.0
8526,Weston McKennie,United States,0.0,153,16,7,121,6,3,2,5,5,0.0,7,2,0,1,6,0.0,0.0,146,40,0.0,5,0.0,0.0,0.0
8546,Niclas Füllkrug,Germany,0.0,36,1,1,12,0,0,1,0,6,0.0,0,1,0,0,2,0.0,0.0,25,4,0.0,8,0.0,0.0,0.0
8553,Abdou Diallo,Senegal,0.0,149,5,5,130,13,2,0,1,8,0.0,4,0,0,1,2,0.0,0.0,183,25,1.0,1,0.0,0.0,0.0
8561,Fabian Frei,Switzerland,0.0,14,1,0,11,1,2,0,2,2,0.0,1,0,0,1,0,0.0,0.0,13,7,0.0,0,0.0,0.0,0.0
8591,Samuel Yves Oum Gwet,Cameroon,0.0,40,10,1,45,4,0,0,1,3,0.0,0,1,0,0,0,0.0,0.0,57,12,0.0,0,0.0,0.0,0.0
8654,Ante Budimir,Croatia,0.0,19,1,2,5,1,1,0,0,5,0.0,4,2,0,0,0,0.0,0.0,6,10,0.0,1,0.0,0.0,0.0
8714,Damian Szymański,Poland,0.0,8,0,0,6,1,0,0,1,0,0.0,1,0,0,0,0,0.0,0.0,9,2,0.0,0,0.0,0.0,0.0
8776,Takumi Minamino,Japan,0.0,30,2,1,19,0,0,0,1,5,0.0,1,0,0,0,2,0.0,0.0,24,11,0.0,3,0.0,0.0,0.0
8804,Jonas Hofmann,Germany,0.0,23,1,2,17,0,1,1,0,1,0.0,0,0,0,0,0,0.0,0.0,20,6,0.0,1,0.0,0.0,0.0
8808,Matthias Ginter,Germany,0.0,3,0,0,3,0,0,0,0,1,0.0,0,0,0,0,0,0.0,0.0,3,1,0.0,0,0.0,0.0,0.0
8814,Nico Elvedi,Switzerland,0.0,116,6,4,110,15,0,0,2,6,0.0,3,1,0,3,0,0.0,0.0,141,15,1.0,1,0.0,0.0,0.0
8836,Karol Świderski,Poland,0.0,9,2,0,5,0,1,0,2,4,0.0,0,1,0,1,1,0.0,0.0,8,11,0.0,0,0.0,0.0,0.0
8859,Ajdin Hrustic,Australia,0.0,38,4,0,27,2,1,4,2,2,0.0,1,2,0,0,3,0.0,0.0,23,23,0.0,1,0.0,0.0,0.0
8949,Takuma Asano,Japan,0.0,79,8,0,30,1,2,1,1,9,0.0,4,0,0,2,7,0.0,0.0,29,27,0.0,9,0.0,0.0,0.0
8966,Kai Havertz,Germany,0.0,53,4,0,27,0,3,1,1,3,0.0,4,1,0,1,2,1.0,0.0,33,19,0.0,5,0.0,0.0,0.0
9036,David Wallace Wotherspoon,Canada,0.0,8,0,1,6,0,0,1,0,1,0.0,0,1,0,0,0,0.0,0.0,6,1,0.0,0,0.0,0.0,0.0
9236,Mohamed Dräger,Tunisia,1.0,45,4,3,35,2,2,4,1,5,0.0,3,2,0,3,3,0.0,0.0,51,20,0.0,4,1.0,1.0,0.0
9286,Antoine Semenyo,Ghana,0.0,15,2,1,4,0,2,0,0,4,0.0,2,0,0,0,0,0.0,0.0,3,9,0.0,1,0.0,0.0,0.0
9411,Daichi Kamada,Japan,1.0,133,7,6,96,2,6,7,3,9,0.0,2,1,0,1,5,0.0,0.0,104,74,0.0,6,0.0,0.0,0.0
9430,Jason Cummings,Australia,0.0,9,1,1,4,0,1,0,0,2,0.0,0,0,0,0,0,0.0,0.0,6,10,0.0,0,0.0,0.0,0.0
